id,name,long_name,battle_requirement,first_clear_reward,acquire_cost,resource_requirement,ship_choice_class,ship_cost_requirement,resource_reward,upgrade_is_temporary,contribution_upgrade,hazard
g1_1_b1,B1,,galaxy1_battle1,"[{""upgrade"":""G1TransitSpeed""}]",,[],,,"[{""amount"":10,""resource"":""galaxy1FleetScrap""}]",false,,
g1_1_gf,GF,,,[],,[],,,[],false,G1Foothold,
g1_1_fr_lsc,L1,,,[],,"[{""amount"":20,""resource"":""galaxy1FleetResources""}]",light,,[],true,,
g1_2_b2,B2,,galaxy1_battle2,"[{""upgrade"":""G1TransitSpeed""}]",,[],,,"[{""amount"":15,""resource"":""galaxy1FleetScrap""}]",false,,
g1_2_fr_maxfr,R1,,,[],,[],,,[],false,G1FRMax,
g1_2_fr_kinetic_frigate,FF,Frigate Foundry,,[],,[],,,[],false,G1FrigateUnlock,
g1_2_fr_a,A1,,,[],,"[{""amount"":10,""resource"":""galaxy1FleetResources""}]",,,"[{""amount"":10,""resource"":""galaxy1Artifact""}]",true,,
g1_2_fs_stats,S1,,,[],,[],,,[],false,G1Battle,
g1_3_b3,B3,,galaxy1_battle3,"[{""upgrade"":""G1TransitSpeed""}]",,[],,,"[{""amount"":20,""resource"":""galaxy1FleetScrap""}]",false,,
g1_3_fs_stats,S2,,,[],,[],,,[],false,G1Battle2,
g1_4_b4,B4,,galaxy1_battle4,"[{""upgrade"":""G1TransitSpeed""}]",,[],,,"[{""amount"":20,""resource"":""galaxy1FleetScrap""}]",false,,
g1_4_b5,B5,,galaxy1_battle5,"[{""upgrade"":""G1TransitSpeed""}]",,[],,,"[{""amount"":25,""resource"":""galaxy1FleetScrap""}]",false,,
g1_4_temp_fs_stats,TP,,,[],,[],,,[],true,G1TempBattle1,
g1_4_fr_frigate,FP,Frigate Printer,,[],,[],,,[],false,G1StartingFrigate,
g1_5_fr_a,A2,,,[],,"[{""amount"":20,""resource"":""galaxy1FleetResources""}]",,,"[{""amount"":20,""resource"":""galaxy1Artifact""}]",true,,
g1_6_b6,B6,,galaxy1_battle6,"[{""upgrade"":""G1UnlockG2""},{""upgrade"":""G1TransitSpeedFinal""}]",,[],,,"[{""amount"":30,""resource"":""galaxy1FleetScrap""}]",false,,
g2_1_b1,B1,,galaxy2_battle1,"[{""upgrade"":""G2TransitSpeed""}]",,[],,,"[{""amount"":10,""resource"":""galaxy2FleetScrap""}]",false,,
g2_1_gf,GF,,,[],,[],,,[],false,G2Foothold,
g2_1_fr_lsc,L1,,,[],,"[{""amount"":10,""resource"":""galaxy2FleetResources""}]",light,,[],true,,
g2_2_b2,B2,,galaxy2_battle2,"[{""upgrade"":""G2TransitSpeed""}]",,[],,,"[{""amount"":15,""resource"":""galaxy2FleetScrap""}]",false,,
g2_2_fr_maxfr,R1,,,[],,[],,,[],false,G2FRMax,
g2_2_fs_stats,S1,,,[],,[],,,[],false,G2Battle,
g2_3_fr_a,A1,,,[],,"[{""amount"":10,""resource"":""galaxy2FleetResources""}]",,,"[{""amount"":10,""resource"":""galaxy2Artifact""}]",true,,
g2_3_bb1,BB1,,galaxy2_basebattle1,"[{""upgrade"":""G2VoidEnergyReplacer""}]",,[],,,"[{""amount"":50,""resource"":""galaxy2FleetScrap""}]",false,,
g2_3_b3a,B3A,,galaxy2_battle3a,"[{""upgrade"":""G2TransitSpeed""}]",,[],,,"[{""amount"":20,""resource"":""galaxy2FleetScrap""}]",false,,
g2_3_corvette_chargelaser_mod,CL,Charge Laser Foundry,,[],,[],,,[],false,G2CorvetteChargeLaserUnlock,
g2_3_b3b,B3B,,galaxy2_battle3b,"[{""upgrade"":""G2TransitSpeed""}]",,[],,,"[{""amount"":20,""resource"":""galaxy2FleetScrap""}]",false,,
g2_3_frigate_missile_mod,MI,Missile Foundry,,[],,[],,,[],false,G2FrigateMissilesUnlock,
g2_4_b4a,B4A,,galaxy2_battle4a,"[{""upgrade"":""G2TransitSpeed""}]",,[],,,"[{""amount"":25,""resource"":""galaxy2FleetScrap""}]",false,,
g2_4_fr_maxfr,R2,,,[],,[],,,[],false,G2FRMax,
g2_4_b4b,B4B,,galaxy2_battle4b,"[{""upgrade"":""G2TransitSpeed""}]",,[],,,"[{""amount"":25,""resource"":""galaxy2FleetScrap""}]",false,,
g2_4_fs_stats,S2,,,[],,[],,,[],false,G2Battle,
g2_4_b5,B5,,galaxy2_battle5,"[{""upgrade"":""G2TransitSpeed""}]",,[],,,"[{""amount"":25,""resource"":""galaxy2FleetScrap""}]",false,,
g2_4_fr_lsc,L2,,,[],,"[{""amount"":20,""resource"":""galaxy2FleetResources""}]",light,,[],true,,
g2_6_fr_a,A2,,,[],,"[{""amount"":20,""resource"":""galaxy2FleetResources""}]",,,"[{""amount"":20,""resource"":""galaxy2Artifact""}]",true,,
g2_6_b6a,B6A,,galaxy2_battle6a,"[{""upgrade"":""G2TransitSpeed""}]",,[],,,"[{""amount"":30,""resource"":""galaxy2FleetScrap""}]",false,,
g2_6_fr_maxfr,R3,,,[],,[],,,[],false,G2FRMax2,
g2_6_b6b,B6B,,galaxy2_battle6b,"[{""upgrade"":""G2TransitSpeed""}]",,[],,,"[{""amount"":30,""resource"":""galaxy2FleetScrap""}]",false,,
g2_6_fs_stats,S3,,,[],,[],,,[],false,G2Battle2,
g2_7_b7,B7,,galaxy2_battle7,"[{""upgrade"":""G2TransitSpeed""}]",,[],,,"[{""amount"":30,""resource"":""galaxy2FleetScrap""}]",false,,
g2_7_temp_stats,TP,,,[],,[],,,[],true,G2TempBattle,
